item_id,kind,title,description,applies_to,jurisdiction,evidence_span_ids,conditions_required,conditions_excluded,status,version,blockers,details
SIZE-P01,comparison,P01 illustrative comparison,The pregnancy clock has started—your body is preparing. There is no embryo to size yet.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 1, ""end"": 1}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P01"", ""measurement_basis"": ""Special state; no size claim"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""calendar-spark"", ""image_path"": null, ""image_alt"": ""The pregnancy clock has started—your body is preparing. There is no embryo to size yet."", ""hide_reason"": ""Intentional non-size state"", ""proposed_planning_basis"": ""Gestational dating starts from the last menstrual period"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P02,comparison,P02 illustrative comparison,A new cycle is unfolding. There is still no embryo to compare this week.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 2, ""end"": 2}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P02"", ""measurement_basis"": ""Special state; no size claim"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""tiny-spark"", ""image_path"": null, ""image_alt"": ""A new cycle is unfolding. There is still no embryo to compare this week."", ""hide_reason"": ""Intentional non-size state"", ""proposed_planning_basis"": ""Ovulation/conception timing varies"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P03,comparison,P03 illustrative comparison,"If fertilisation has happened, this tiny beginning is closer to a speck of fine sand than a seed.","{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 3, ""end"": 3}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P03"", ""measurement_basis"": ""Length; conditional"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""sand-speck"", ""image_path"": null, ""image_alt"": ""If fertilisation has happened, this tiny beginning is closer to a speck of fine sand than a seed."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Microscopic cell cluster; timing varies"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P04,comparison,P04 illustrative comparison,Your tiny beginning is about the size of a poppy seed.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 4}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P04"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""poppy-seed"", ""image_path"": null, ""image_alt"": ""Your tiny beginning is about the size of a poppy seed."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 1–2 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P05,comparison,P05 illustrative comparison,Your tiny embryo is about the size of a sesame seed.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 5, ""end"": 5}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P05"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""sesame-seed"", ""image_path"": null, ""image_alt"": ""Your tiny embryo is about the size of a sesame seed."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 2–4 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P06,comparison,P06 illustrative comparison,Your tiny embryo is about the size of a lentil.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 6, ""end"": 6}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P06"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""lentil"", ""image_path"": null, ""image_alt"": ""Your tiny embryo is about the size of a lentil."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 4–6 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P07,comparison,P07 illustrative comparison,Your growing embryo is about the size of a blueberry.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 7, ""end"": 7}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P07"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""blueberry"", ""image_path"": null, ""image_alt"": ""Your growing embryo is about the size of a blueberry."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 7–10 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P08,comparison,P08 illustrative comparison,Your growing embryo is about the size of a pumpkin seed.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 8, ""end"": 8}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P08"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""pumpkin-seed"", ""image_path"": null, ""image_alt"": ""Your growing embryo is about the size of a pumpkin seed."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 14–16 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P09,comparison,P09 illustrative comparison,Your baby is about the size of a rajma bean.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 9, ""end"": 9}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P09"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""rajma-bean"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a rajma bean."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 22–24 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P10,comparison,P10 illustrative comparison,Your baby is about the size of a cherry.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 10, ""end"": 10}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P10"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""cherry"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a cherry."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 30–35 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
